title	channel	views	likes	comments	category
연말정산 꿀팁??연금저축 세액공제 이월 시켜서 받는 법 (ft.결정세액 0원)	할미언니	10147	352	59	26
"퇴직연금으로 백만장자 되기?? DC, IRP 안전자산 ETF 추천 (1탄)"	할미언니	48126	1191	141	26
결혼을 결심한 이유(3) #할미언니 #결혼결심썰	할미언니	5736	73	2	26
결혼을 결심한 이유(2) #할미언니 #결혼결심썰	할미언니	6237	111	2	26
결혼을 결심한 이유(1) #할미언니 #결혼결심썰	할미언니	14051	296	15	26
가장 확실한 #노후준비 단 1가지	할미언니	10804	191	5	26
타고난 재능이 없는 사람도 ‘이 원리’만 터득하면 성공할 수 있답니다???(ft.일류의 조건)	할미언니	21045	913	255	26
미국주식 장기투자??매달 34만 원씩 여기에 넣으세요! (ft.적립식 자동매수)	할미언니	387260	9744	490	26
결혼하고 더 잘 사는 사람 vs 못 사는 사람 특징 (ft.신혼의 함정)	할미언니	129061	2855	275	26
전 주문 무료배송?! 이커머스 시장파괴자 테무에서 할인쿠폰 사용하고 18만 원 아낀 썰??	할미언니	15956	577	36	26
